(1, 'Cougar', '1990', 'Purple', '$196813.82')
(2, 'Town Car', '1989', 'Fuscia', '$147788.50')
(3, 'Cooper', '2002', 'Mauv', '$188148.37')
(4, 'S60', '2007', 'Red', '$23613.53')
(5, '3500', '1999', 'Indigo', '$193502.17')
(6, 'Brat', '1986', 'Pink', '$188722.19')
(7, 'XLR', '2007', 'Khaki', '$103881.32')
(8, 'Cougar', '1984', 'Red', '$142338.26')
(9, 'Sedona', '2007', 'Orange', '$111278.33')
(10, 'MPV', '1989', 'Aquamarine', '$87768.79')
(11, 'Express 1500', '2003', 'Fuscia', '$15991.79')
(12, 'E350', '2012', 'Yellow', '$109149.20')
(13, '6 Series', '2004', 'Indigo', '$77376.11')
(14, 'A3', '2012', 'Blue', '$100329.56')
(15, 'Frontier', '2003', 'Maroon', '$32191.81')
(16, 'tC', '2006', 'Yellow', '$131914.52')
(17, 'Explorer', '2010', 'Indigo', '$130846.43')
(18, 'S4', '2007', 'Pink', '$55692.40')
(19, 'SL-Class', '1994', 'Violet', '$21199.95')
(20, 'Town Car', '2005', 'Aquamarine', '$27203.91')
(21, 'F350', '2004', 'Maroon', '$196627.76')
(22, '9-5', '2008', 'Pink', '$40864.85')
(23, 'Thunderbird', '1980', 'Khaki', '$152213.34')
(24, 'E-Class', '1996', 'Yellow', '$90633.08')
(25, 'Colt Vista', '1993', 'Violet', '$52868.69')
(26, 'Suburban 2500', '2000', 'Crimson', '$196333.03')
(27, '1500', '1996', 'Yellow', '$80926.69')
(28, 'CX-9', '2010', 'Maroon', '$134455.27')
(29, 'Montero', '2000', 'Goldenrod', '$152763.32')
(30, 'Corvette', '1960', 'Maroon', '$93666.04')
(31, 'LeSabre', '2005', 'Puce', '$122004.53')
(32, 'W201', '1984', 'Crimson', '$100781.50')
(33, 'Yukon XL 2500', '2012', 'Green', '$188308.42')
(34, 'Montero', '1993', 'Indigo', '$87284.08')
(35, 'Gemini', '1986', 'Maroon', '$137111.04')
(36, 'Eclipse', '2009', 'Red', '$99179.85')
(37, 'Nubira', '2000', 'Mauv', '$193316.63')
(38, 'Escalade EXT', '2007', 'Crimson', '$56827.83')
(39, 'Sprinter', '2011', 'Mauv', '$155453.03')
(40, 'SLK-Class', '2006', 'Pink', '$25595.48')
(41, 'Firefly', '1985', 'Mauv', '$101043.22')
(42, 'Caravan', '1992', 'Puce', '$10579.44')
(43, 'Pilot', '2012', 'Orange', '$160948.22')
(44, '430', '1990', 'Maroon', '$120760.20')
(45, 'Explorer', '2000', 'Maroon', '$193338.90')
(46, 'Escalade', '2000', 'Mauv', '$97951.11')
(47, 'Yaris', '2009', 'Pink', '$181250.61')
(48, 'SLK-Class', '2012', 'Green', '$86293.97')
(49, 'Acclaim', '1992', 'Orange', '$100653.22')
(50, 'Grand Marquis', '1989', 'Indigo', '$64809.75')
(51, 'Grand Prix', '2004', 'Red', '$169319.27')
(52, 'Aztek', '2002', 'Fuscia', '$153614.83')
(53, 'Armada', '2009', 'Maroon', '$183790.77')
(54, 'Passat', '1999', 'Fuscia', '$99436.71')
(55, 'Suburban 1500', '1995', 'Pink', '$193004.84')
(56, 'Marquis', '1984', 'Maroon', '$195683.40')
(57, 'Range Rover', '1986', 'Maroon', '$109763.18')
(58, 'RX-7', '1984', 'Violet', '$177986.31')
(59, 'F150', '1992', 'Fuscia', '$131296.41')
(60, 'Town & Country', '1995', 'Maroon', '$31937.56')
(61, 'Boxster', '2002', 'Maroon', '$127108.31')
(62, 'Ridgeline', '2008', 'Turquoise', '$156540.57')
(63, 'Forenza', '2008', 'Fuscia', '$189046.15')
(64, 'Express 2500', '1997', 'Khaki', '$71914.40')
(65, 'Ram 1500 Club', '1998', 'Mauv', '$152061.91')
(66, 'GTO', '1991', 'Maroon', '$78391.03')
(67, 'E-Series', '2003', 'Aquamarine', '$198648.54')
(68, 'Safari', '1992', 'Goldenrod', '$68896.34')
(69, 'GLC', '1984', 'Red', '$165632.78')
(70, 'Quest', '1997', 'Crimson', '$94471.20')
(71, 'Ranger', '2001', 'Teal', '$46777.64')
(72, 'Maxima', '2008', 'Pink', '$130787.88')
(73, 'SLK-Class', '2012', 'Aquamarine', '$181026.78')
(74, 'HS', '2012', 'Teal', '$165042.09')
(75, 'F-Series', '2002', 'Purple', '$105430.99')
(76, 'Volt', '2011', 'Puce', '$47840.51')
(77, 'Imperial', '1926', 'Mauv', '$54593.15')
(78, 'Typ-1', '2008', 'Maroon', '$122006.37')
